variation,n,wf_mean,wf_std,test_mean,install_mean,tests
baseline,3,28.0,2.6457513110645907,10.666666666666666,2.6666666666666665,98
baseline_final,1,31.0,,13.0,2.0,98
failing,1,25.0,,9.0,2.0,98
jobs_parallel,2,17.5,0.7071067811865476,9.0,2.0,98
jobs_parallel_2x,1,15.0,,11.0,2.0,178
no_cache,2,26.0,2.8284271247461903,10.5,3.5,98
pytest_parallel,2,30.5,2.1213203435596424,11.0,3.0,98
pytest_parallel_4x,1,29.0,,12.0,3.0,338
slow_test,1,60.0,,41.0,3.0,99
tests_2x,1,30.0,,13.0,3.0,178
tests_4x,1,24.0,,9.0,2.0,338
tests_8x,1,33.0,,14.0,2.0,658
