commit_sha,label,hypothesis,knobs
11533356efdb32a9d2f4238f0ef5b14fba50e15d,baseline,"tempo de referência; 1o run popula o cache (cache frio)","CACHE=on;PYTEST_PARALLEL=off;SCALE=1;SLOW=off;FAIL=off;JOBS=seq"
6a627363562555ae249373a2e61d9cda8a368d27,baseline,"repetição p/ variância (cache quente)","CACHE=on;PYTEST_PARALLEL=off;SCALE=1;SLOW=off;FAIL=off;JOBS=seq"
cdaba569da16b63b90fdff33fd4a58c653d8fa4d,baseline,"repetição p/ variância (cache quente)","CACHE=on;PYTEST_PARALLEL=off;SCALE=1;SLOW=off;FAIL=off;JOBS=seq"
93d12b19aa9d4523943de17366a1f63af9e5035f,no_cache,"sem cache aumenta o install de deps","CACHE=off;PYTEST_PARALLEL=off;SCALE=1;SLOW=off;FAIL=off;JOBS=seq"
f16757329247f16e66277ed1040600a7d51f53e0,no_cache,"repetição p/ variância do efeito de cache","CACHE=off;PYTEST_PARALLEL=off;SCALE=1;SLOW=off;FAIL=off;JOBS=seq"
831607e4ac6390f59ee9b4e8845971bb33de4440,tests_2x,"2x testes: duração sobe de forma sublinear","CACHE=on;PYTEST_PARALLEL=off;SCALE=2;SLOW=off;FAIL=off;JOBS=seq"
ec928cbe59db760d06e5a34858e338de65a00c5b,tests_4x,"4x testes","CACHE=on;PYTEST_PARALLEL=off;SCALE=4;SLOW=off;FAIL=off;JOBS=seq"
4b3ab31174000d66ab29c70c96ac04fbd5d629de,tests_8x,"8x testes: reforça a regressão testes x duração","CACHE=on;PYTEST_PARALLEL=off;SCALE=8;SLOW=off;FAIL=off;JOBS=seq"
da4dc95519ca9613085271c585d4233fd855524d,slow_test,"1 teste de 30s domina a cauda de duração","CACHE=on;PYTEST_PARALLEL=off;SCALE=1;SLOW=on;FAIL=off;JOBS=seq"
c23aa7344d47b6dbb313107c21e682223558026a,failing,"status=failure; fail-fast pode encurtar o run","CACHE=on;PYTEST_PARALLEL=off;SCALE=1;SLOW=off;FAIL=on;JOBS=seq"
0245d52bffd392fc57f8e0a7bfdb8a3a5c05c1d6,pytest_parallel,"SURPRESA: xdist deixa a suíte pequena MAIS lenta (overhead)","CACHE=on;PYTEST_PARALLEL=on;SCALE=1;SLOW=off;FAIL=off;JOBS=seq"
76b01651ed203112b22e879ae8ba3085b8258a4e,pytest_parallel,"repetição p/ variância","CACHE=on;PYTEST_PARALLEL=on;SCALE=1;SLOW=off;FAIL=off;JOBS=seq"
126c584f5e47f3068bd1ca3cbc030c891b813761,pytest_parallel_4x,"com carga maior (4x) o paralelismo passa a compensar?","CACHE=on;PYTEST_PARALLEL=on;SCALE=4;SLOW=off;FAIL=off;JOBS=seq"
f91162c2da813a995bdbfb5bd105bd3a1144a2e5,jobs_parallel,"jobs concorrentes reduzem o wall-time total","CACHE=on;PYTEST_PARALLEL=off;SCALE=1;SLOW=off;FAIL=off;JOBS=parallel"
1d2ac182153ca7812e03bb343918eebc7c593976,jobs_parallel,"repetição p/ variância","CACHE=on;PYTEST_PARALLEL=off;SCALE=1;SLOW=off;FAIL=off;JOBS=parallel"
85204ae23ad35e2d2cd13ab80731be06dc3f7f3f,jobs_parallel_2x,"jobs paralelos + 2x testes","CACHE=on;PYTEST_PARALLEL=off;SCALE=2;SLOW=off;FAIL=off;JOBS=parallel"
abb47b1d7a0414ac5c2d53a400375283c126d6d4,baseline_final,"checagem de drift no fim do experimento","CACHE=on;PYTEST_PARALLEL=off;SCALE=1;SLOW=off;FAIL=off;JOBS=seq"
